epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
8,34.7044,0.73116,4.55157,0.85629,0,0,0,0,0.7512,4.66264,1.0457,2.68625e-05,2.68625e-05,2.68625e-05
9,38.8793,0.7761,4.51617,0.96396,0,0,0,0,0.75315,4.6369,1.05612,2.08e-05,2.08e-05,2.08e-05
10,43.0366,0.83649,4.56903,1.02804,0,0,0,0,0.78907,4.6134,1.07463,1.22625e-05,1.22625e-05,1.22625e-05
1,1.30611,1.25897,3.83306,1.11619,0.00333,1,0.02551,0.01206,0.29184,3.59863,0.86625,0,0,0
2,2.88107,1.45879,4.14057,1.14011,0.00333,1,0.02488,0.01378,0.30703,3.59745,0.86574,1.01e-05,1.01e-05,1.01e-05
1,2.45418,1.07155,4.1599,1.10584,0,0,0,0,0.35653,3.81187,0.86099,0,0,0
2,5.30931,1.11647,4.02626,1.07052,0,0,0,0,0.36769,3.81224,0.85998,8.41835e-06,8.41835e-06,8.41835e-06
1,2.73148,1.10924,4.26781,1.06482,0,0,0,0,0.29363,4.00937,0.60539,0,0,0
2,5.75452,1.16292,4.25277,1.14902,0,0,0,0,0.27808,4.00189,0.604,1.50197e-05,1.50197e-05,1.50197e-05
3,8.54033,1.11563,4.27415,0.97031,0,0,0,0,0.24457,3.99761,0.60234,2.67387e-05,2.67387e-05,2.67387e-05
4,11.0154,0.95464,4.04952,1.03807,0.00329,0.5,0.00247,0.00247,0.2188,4.00737,0.60129,3.5157e-05,3.5157e-05,3.5157e-05
5,13.581,0.89306,4.1682,1.07905,0.00331,0.5,0.00248,0.00248,0.24595,3.99267,0.60149,4.02747e-05,4.02747e-05,4.02747e-05
6,16.0413,1.02755,4.13694,1.08214,0.00322,0.5,0.00241,0.00241,0.27537,3.97911,0.60223,4.20917e-05,4.20917e-05,4.20917e-05
7,18.5984,1.08141,3.95491,1.02213,0.00315,0.5,0.2483,0.02483,0.30187,3.9624,0.60348,4.06081e-05,4.06081e-05,4.06081e-05
8,21.255,0.90558,4.06677,1.01313,0.00312,0.5,0.16579,0.03316,0.33384,3.96377,0.60555,3.58238e-05,3.58238e-05,3.58238e-05
9,23.8126,0.85133,3.49491,0.92703,0.00299,0.5,0.16576,0.04973,0.3705,3.96447,0.60792,2.77389e-05,2.77389e-05,2.77389e-05
10,26.4222,0.51389,3.56325,0.84812,0.00588,1,0.29,0.07873,0.36953,3.96372,0.60746,1.63533e-05,1.63533e-05,1.63533e-05
1,4.27161,1.15553,3.85725,1.09399,0.00333,1,0.33931,0.33931,0.11107,3.34834,0.78319,0,0,0
2,7.83555,1.17453,4.02526,1.11886,0.00333,1,0.33934,0.33934,0.1203,3.34571,0.78206,1.604e-05,1.604e-05,1.604e-05
3,11.9375,1.1071,3.78241,1.07318,0.00333,1,0.33923,0.33899,0.16949,3.34881,0.78042,2.416e-05,2.416e-05,2.416e-05
4,15.1521,0.957,3.9213,0.9756,0.00333,1,0.33925,0.339,0.21558,3.36299,0.7788,2.436e-05,2.436e-05,2.436e-05
5,18.6513,1.08173,3.79193,1.01229,0.00333,1,0.33921,0.33897,0.24156,3.36246,0.77986,1.664e-05,1.664e-05,1.664e-05
1,2.38064,0.61903,4.2802,0.79674,0.00224,0.33333,0.33574,0.33574,0.10893,3.70846,0.78371,0,0,0
2,5.18854,0.63273,4.42117,0.87528,0.00226,0.33333,0.33575,0.33575,0.11267,3.70843,0.78218,1.50197e-05,1.50197e-05,1.50197e-05
3,7.6591,0.51043,4.07125,0.85085,0.00228,0.33333,0.33576,0.33576,0.13493,3.71219,0.78161,2.67387e-05,2.67387e-05,2.67387e-05
4,10.1166,0.79172,4.48956,0.91207,0.00229,0.33333,0.33576,0.33576,0.16833,3.71414,0.78191,3.5157e-05,3.5157e-05,3.5157e-05
5,12.5781,0.75377,4.34132,0.93969,0.00466,0.66667,0.33732,0.33732,0.20321,3.71822,0.78195,4.02747e-05,4.02747e-05,4.02747e-05
6,15.3857,0.59442,3.82626,0.81354,0.00696,1,0.33962,0.33939,0.21879,3.72292,0.77881,4.20917e-05,4.20917e-05,4.20917e-05
7,18.0294,0.67353,3.90314,0.83788,0.00457,0.66667,0.33729,0.33729,0.22046,3.71659,0.77793,4.06081e-05,4.06081e-05,4.06081e-05
8,20.5488,0.82914,3.93252,0.95457,0.00451,0.66667,0.33727,0.33727,0.22169,3.70806,0.7785,3.58238e-05,3.58238e-05,3.58238e-05
9,23.0494,0.66062,3.73936,0.88009,0.00679,1,0.33956,0.33933,0.21666,3.70528,0.77909,2.77389e-05,2.77389e-05,2.77389e-05
10,25.5044,0.57947,3.72457,0.8366,0.00682,1,0.33959,0.33936,0.21567,3.70407,0.77857,1.63533e-05,1.63533e-05,1.63533e-05
1,2.40754,0.80638,3.9318,0.92119,0.00229,0.33333,0.16979,0.16864,0.22172,3.69862,0.84082,0,0,0
2,4.9639,0.8158,4.14478,0.92661,0.00231,0.33333,0.17012,0.16878,0.21852,3.69952,0.83954,1.58448e-05,1.58448e-05,1.58448e-05
3,7.522,0.63187,3.93573,0.87501,0.00234,0.33333,0.17119,0.16954,0.23294,3.69378,0.84001,3.00393e-05,3.00393e-05,3.00393e-05
4,10.3243,0.64004,4.18188,0.88109,0.0035,0.5,0.17526,0.17242,0.25822,3.68763,0.84084,4.25835e-05,4.25835e-05,4.25835e-05
5,12.8735,0.61148,3.79659,0.83742,0.00349,0.5,0.20532,0.19425,0.30001,3.68425,0.84382,5.34774e-05,5.34774e-05,5.34774e-05
6,15.9636,0.73193,3.77006,0.8638,0.00345,0.5,0.25114,0.23457,0.35316,3.65981,0.83232,6.27209e-05,6.27209e-05,6.27209e-05
7,18.572,0.71381,3.42367,0.87766,0.00349,0.5,0.27866,0.25666,0.35585,3.6637,0.83036,7.03141e-05,7.03141e-05,7.03141e-05
8,21.0492,0.84077,3.47537,1.01082,0.00353,0.5,0.33369,0.31719,0.40088,3.62064,0.82121,7.62569e-05,7.62569e-05,7.62569e-05
9,23.5813,0.73498,3.12666,0.89076,0.00354,0.5,0.33372,0.31722,0.38533,3.61528,0.81825,8.05494e-05,8.05494e-05,8.05494e-05
10,26.1009,0.73268,3.37218,0.84665,0.00349,0.5,0.33374,0.33374,0.38203,3.6008,0.814,8.31916e-05,8.31916e-05,8.31916e-05
11,28.651,0.75149,2.97432,0.89351,0.00449,1,0.43262,0.41211,0.39512,3.57415,0.80829,8.41835e-05,8.41835e-05,8.41835e-05
12,31.5218,0.59957,2.44777,0.80879,0.00445,1,0.43266,0.42199,0.41401,3.51329,0.81782,8.3525e-05,8.3525e-05,8.3525e-05
13,34.0461,0.69464,2.35377,0.84845,0.00444,1,0.4327,0.39724,0.3965,3.48516,0.8145,8.12162e-05,8.12162e-05,8.12162e-05
14,36.784,0.66504,2.11045,0.81081,0.00442,1,0.43274,0.38932,0.40947,3.43637,0.81677,7.72571e-05,7.72571e-05,7.72571e-05
15,39.2609,0.6017,2.05346,0.77355,0.00441,1,0.45752,0.41163,0.42731,3.41378,0.81644,7.16477e-05,7.16477e-05,7.16477e-05
16,41.9746,0.63228,1.91475,0.78903,0.00438,1,0.49881,0.44879,0.43026,3.39201,0.81567,6.43879e-05,6.43879e-05,6.43879e-05
17,44.5178,0.63,1.90787,0.85086,0.00436,1,0.49882,0.44881,0.42231,3.37282,0.81402,5.54778e-05,5.54778e-05,5.54778e-05
18,47.1872,0.71088,1.73428,0.84127,0.00436,1,0.49882,0.44881,0.42231,3.37282,0.81402,4.49173e-05,4.49173e-05,4.49173e-05
19,49.7744,0.83731,2.16144,0.82105,0.00436,1,0.4988,0.44879,0.41611,3.35296,0.811,3.27065e-05,3.27065e-05,3.27065e-05
20,52.3371,0.6219,1.79154,0.82218,0.00436,1,0.4988,0.44879,0.41611,3.35296,0.811,1.88454e-05,1.88454e-05,1.88454e-05
1,2.59856,1.21297,4.11943,1.02311,0.00442,0.66667,0.66574,0.53274,0.15948,3.46866,0.77285,0,0,0
2,5.14653,1.11158,4.32895,1.04226,0.00442,0.66667,0.66574,0.53274,0.15477,3.469,0.77106,1.63399e-05,1.63399e-05,1.63399e-05
3,7.77969,0.78887,4.02279,0.90368,0.00452,0.66667,0.66576,0.53276,0.15473,3.47178,0.7692,3.20197e-05,3.20197e-05,3.20197e-05
4,10.9303,0.88518,4.34098,0.94094,0.00459,0.66667,0.66577,0.66577,0.1802,3.47544,0.77077,4.70394e-05,4.70394e-05,4.70394e-05
5,13.5426,0.80106,3.97752,0.90439,0.0046,0.66667,0.66577,0.63277,0.24005,3.48782,0.77326,6.13989e-05,6.13989e-05,6.13989e-05
6,16.0493,0.92235,3.81614,0.90812,0.00708,1,0.66736,0.61745,0.30357,3.50104,0.77782,7.50984e-05,7.50984e-05,7.50984e-05
7,18.6141,0.88299,3.4782,0.92999,0.0069,1,0.66733,0.61743,0.33385,3.50831,0.78169,8.81376e-05,8.81376e-05,8.81376e-05
8,21.1311,0.906,3.39714,1.02057,0.00693,1,0.66739,0.56772,0.36612,3.52547,0.78163,0.000100517,0.000100517,0.000100517
9,23.7428,0.84639,3.06973,0.90066,0.00691,1,0.863,0.66538,0.37719,3.52531,0.78546,0.000112236,0.000112236,0.000112236
10,26.2571,0.96482,3.31225,0.88214,0.00671,1,0.995,0.85723,0.35939,3.45929,0.78436,0.000123295,0.000123295,0.000123295
11,28.9758,1.16516,2.67285,0.95378,0.00656,1,0.995,0.93991,0.32544,3.41576,0.77871,0.000133693,0.000133693,0.000133693
12,32.1561,0.86434,2.12016,0.83861,0.0064,1,0.995,0.95107,0.3286,3.38591,0.77816,0.000143432,0.000143432,0.000143432
13,34.7406,0.91601,1.81876,0.88056,0.00651,1,0.995,0.90674,0.36024,3.36654,0.78401,0.00015251,0.00015251,0.00015251
14,37.219,1.12779,2.11136,0.98459,0.00649,1,0.995,0.90674,0.38074,3.35952,0.78606,0.000160929,0.000160929,0.000160929
15,39.7905,0.79504,1.82365,0.89835,0.00658,1,0.995,0.86281,0.41332,3.35033,0.7852,0.000168687,0.000168687,0.000168687
16,42.3216,0.81623,1.83804,0.87717,0.00671,1,0.995,0.85158,0.41881,3.3463,0.78406,0.000175785,0.000175785,0.000175785
17,44.9357,0.73954,1.4059,0.79965,0.0069,1,0.995,0.8955,0.40036,3.33693,0.78214,0.000182223,0.000182223,0.000182223
18,48.1091,0.72511,1.75043,0.82698,0.0069,1,0.995,0.8955,0.40036,3.33693,0.78214,0.000188001,0.000188001,0.000188001
19,50.5984,0.78255,1.61689,0.86212,0.0069,1,0.995,0.8955,0.37909,3.33271,0.78415,0.000193119,0.000193119,0.000193119
20,53.0862,0.60073,1.30514,0.83204,0.0069,1,0.995,0.8955,0.37909,3.33271,0.78415,0.000197576,0.000197576,0.000197576
21,55.6523,0.82173,1.76294,0.92999,0.00679,1,0.995,0.8955,0.38742,3.29853,0.78804,0.000201374,0.000201374,0.000201374
22,58.1316,0.68415,1.49425,0.88385,0.00679,1,0.995,0.8955,0.38742,3.29853,0.78804,0.000204511,0.000204511,0.000204511
23,60.6797,0.64853,1.6895,0.80051,0.00668,1,0.995,0.8955,0.38037,3.28767,0.79171,0.000206988,0.000206988,0.000206988
24,63.1724,0.84194,1.607,0.9201,0.00668,1,0.995,0.8955,0.38037,3.28767,0.79171,0.000208805,0.000208805,0.000208805
25,65.7547,0.61028,1.56398,0.84084,0.00679,1,0.995,0.84041,0.38387,3.27418,0.78887,0.000209962,0.000209962,0.000209962
26,68.2581,0.57139,1.66311,0.84223,0.00679,1,0.995,0.84041,0.38387,3.27418,0.78887,0.000210459,0.000210459,0.000210459
27,70.8437,0.65092,1.5251,0.84818,0.00693,1,0.995,0.78532,0.35913,3.32186,0.78557,0.000210295,0.000210295,0.000210295
28,73.3804,0.81539,1.55676,0.84365,0.00693,1,0.995,0.78532,0.35913,3.32186,0.78557,0.000209472,0.000209472,0.000209472
29,75.9756,0.69319,1.68068,0.82138,0.0069,1,0.995,0.79656,0.36431,3.34159,0.78448,0.000207988,0.000207988,0.000207988
30,78.4938,0.87097,1.89867,0.88748,0.0069,1,0.995,0.79656,0.36431,3.34159,0.78448,0.000205844,0.000205844,0.000205844
31,81.0861,0.63982,1.68014,0.89258,0.00694,1,0.995,0.77498,0.35918,3.34036,0.779,0.000203041,0.000203041,0.000203041
32,83.6186,0.90792,1.8053,0.9879,0.00694,1,0.995,0.77498,0.35918,3.34036,0.779,0.000199577,0.000199577,0.000199577
33,86.254,0.65068,1.87681,0.90816,0.00704,1,0.995,0.77498,0.35347,3.31908,0.77773,0.000195452,0.000195452,0.000195452
34,88.9479,0.94667,1.78719,0.96084,0.00704,1,0.995,0.77498,0.35347,3.31908,0.77773,0.000190668,0.000190668,0.000190668
35,92.1474,0.55078,1.6956,0.78869,0.00691,1,0.995,0.77498,0.35662,3.28775,0.77983,0.000185224,0.000185224,0.000185224
36,94.8778,0.68433,1.71029,0.87577,0.00691,1,0.995,0.77498,0.35662,3.28775,0.77983,0.000179119,0.000179119,0.000179119
37,97.5789,0.66826,1.53254,0.82669,0.00701,1,0.995,0.93991,0.35422,3.2564,0.78347,0.000172354,0.000172354,0.000172354
38,100.098,0.64885,1.69452,0.85264,0.00701,1,0.995,0.93991,0.35422,3.2564,0.78347,0.00016493,0.00016493,0.00016493
39,102.81,0.64079,1.58432,0.92561,0.00696,1,0.995,0.93991,0.34714,3.24218,0.78536,0.000156845,0.000156845,0.000156845
40,105.356,0.45392,1.30157,0.85381,0.00696,1,0.995,0.93991,0.34714,3.24218,0.78536,0.0001481,0.0001481,0.0001481
41,108.495,0.56143,1.49473,0.82641,0.0069,1,0.995,0.93991,0.34315,3.22016,0.78675,0.000138694,0.000138694,0.000138694
42,111.172,0.57344,1.69527,0.82309,0.0069,1,0.995,0.93991,0.34315,3.22016,0.78675,0.000128629,0.000128629,0.000128629
43,113.791,0.46737,1.50924,0.80159,0.00683,1,0.995,0.91233,0.34865,3.18844,0.788,0.000117904,0.000117904,0.000117904
44,116.386,0.5027,1.49473,0.79601,0.00683,1,0.995,0.91233,0.34865,3.18844,0.788,0.000106518,0.000106518,0.000106518
45,118.91,0.48393,1.56566,0.82455,0.0068,1,0.995,0.91233,0.36022,3.16989,0.78763,9.44722e-05,9.44722e-05,9.44722e-05
46,121.302,0.49105,1.48263,0.7386,0.0068,1,0.995,0.91233,0.36022,3.16989,0.78763,8.17663e-05,8.17663e-05,8.17663e-05
47,123.79,0.45478,1.49214,0.86153,0.00671,1,0.995,0.92907,0.35965,3.15787,0.78592,6.84003e-05,6.84003e-05,6.84003e-05
48,126.191,0.51314,1.51755,0.87767,0.00671,1,0.995,0.92907,0.35965,3.15787,0.78592,5.43742e-05,5.43742e-05,5.43742e-05
49,128.71,0.49179,1.47537,0.8267,0.00664,1,0.995,0.92907,0.35798,3.14301,0.78456,3.96879e-05,3.96879e-05,3.96879e-05
50,131.125,0.5749,1.52991,0.82874,0.00664,1,0.995,0.92907,0.35798,3.14301,0.78456,2.43415e-05,2.43415e-05,2.43415e-05
1,4.26954,0.68466,4.24726,0.84622,0,0,0,0,0.29003,3.92583,0.80191,0,0,0
2,7.1467,0.46557,4.35601,0.85921,0,0,0,0,0.29852,3.92741,0.80217,1.50197e-05,1.50197e-05,1.50197e-05
1,2.66709,0.66193,4.3259,0.81535,0.00227,0.33333,0.33575,0.20175,0.1298,3.71324,0.80479,0,0,0
2,5.32567,0.60045,4.29942,0.85506,0.00225,0.33333,0.33575,0.20175,0.14985,3.71738,0.80516,1.50197e-05,1.50197e-05,1.50197e-05
3,7.90957,0.48196,4.07924,0.84452,0.00228,0.33333,0.33576,0.20176,0.19852,3.73198,0.80543,2.67387e-05,2.67387e-05,2.67387e-05
4,10.5456,0.9177,4.43117,0.97048,0.00229,0.33333,0.33576,0.23526,0.24474,3.74238,0.80523,3.5157e-05,3.5157e-05,3.5157e-05
5,13.1687,0.79639,4.30286,0.95985,0.00456,0.66667,0.33727,0.33727,0.29366,3.75578,0.80408,4.02747e-05,4.02747e-05,4.02747e-05
6,15.6417,0.63186,3.83235,0.83432,0.00685,1,0.33952,0.3393,0.31778,3.75535,0.80471,4.20917e-05,4.20917e-05,4.20917e-05
7,18.1382,0.64859,4.02913,0.81301,0.00683,1,0.33951,0.33929,0.32433,3.74694,0.80416,4.06081e-05,4.06081e-05,4.06081e-05
8,20.6264,0.80447,3.94081,0.94264,0.00683,1,0.33953,0.33931,0.32843,3.74227,0.80359,3.58238e-05,3.58238e-05,3.58238e-05
9,23.2107,0.63906,3.74393,0.87618,0.00683,1,0.33954,0.33932,0.32973,3.74106,0.80314,2.77389e-05,2.77389e-05,2.77389e-05
10,25.826,0.48653,3.65237,0.78424,0.00677,1,0.33951,0.33929,0.32795,3.73722,0.80283,1.63533e-05,1.63533e-05,1.63533e-05
1,2.44268,0.45006,3.93076,0.80017,0.00083,0.125,0.00052,0.00047,0.22128,3.92542,0.78744,0.1,0,0
2,4.94371,0.44203,3.91672,0.79952,0.00163,0.25,0.00126,0.00126,0.23001,3.90937,0.78748,0.099098,9.802e-05,9.802e-05
3,7.37592,0.39688,3.88091,0.79452,0.00244,0.375,0.00221,0.00211,0.27436,3.91006,0.78918,0.0981921,0.00019208,0.00019208
4,9.74815,0.31991,3.81373,0.78618,0.00324,0.5,0.00342,0.0032,0.33278,3.89007,0.78984,0.0972822,0.00028218,0.00028218
5,12.1477,0.27368,3.70227,0.77868,0.00241,0.375,0.00227,0.0021,0.35253,3.86378,0.78998,0.0963683,0.00036832,0.00036832
6,14.5068,0.25044,3.53631,0.77225,0.00243,0.375,0.00224,0.00207,0.32886,3.82371,0.78848,0.0954505,0.0004505,0.0004505
7,16.897,0.21136,3.36017,0.76934,0.00242,0.375,0.00223,0.00206,0.34959,3.78714,0.78826,0.0945287,0.00052872,0.00052872
8,19.3508,0.1812,3.13797,0.76517,0.00242,0.375,0.00222,0.00213,0.34576,3.75205,0.7866,0.093603,0.00060298,0.00060298
9,21.7347,0.17599,2.8292,0.77015,0.00238,0.375,0.00219,0.0021,0.35432,3.72179,0.78186,0.0926733,0.00067328,0.00067328
